Day,Flowrate,Riverheight,Entry number 
25,40.7,1.323,0
25.01041667,40.7,1.323,1
25.02083333,40.5,1.319,2
25.03125,40.3,1.314,3
25.04166667,40.1,1.31,4
25.05208333,39.9,1.307,5
25.0625,39.7,1.302,6
25.07291667,39.4,1.296,7
25.08333333,39.3,1.294,8
25.09375,39,1.286,9
25.10416667,38.8,1.281,10
25.11458333,38.4,1.273,11
25.125,38.2,1.268,12
25.13541667,37.9,1.263,13
25.14583333,37.7,1.257,14
25.15625,37.4,1.251,15
25.16666667,37.1,1.245,16
25.17708333,36.8,1.237,17
25.1875,36.4,1.229,18
25.19791667,36.3,1.227,19
25.20833333,36.1,1.222,20
25.21875,35.8,1.215,21
25.22916667,35.5,1.209,22
25.23958333,35.4,1.205,23
25.25,35.2,1.202,24
25.26041667,35.1,1.198,25
25.27083333,34.7,1.189,26
25.28125,34.6,1.187,27
25.29166667,34.3,1.181,28
25.30208333,34.3,1.18,29
25.3125,34.1,1.177,30
25.32291667,34,1.174,31
25.33333333,33.9,1.171,32
25.34375,33.7,1.167,33
25.35416667,33.6,1.165,34
25.36458333,33.5,1.163,35
25.375,33.4,1.16,36
25.38541667,33.3,1.158,37
25.39583333,33.2,1.156,38
25.40625,33.1,1.154,39
25.41666667,33.1,1.153,40
25.42708333,32.8,1.147,41
25.4375,32.8,1.146,42
25.44791667,32.8,1.145,43
25.45833333,32.5,1.14,44
25.46875,32.3,1.134,45
25.47916667,32.3,1.134,46
25.48958333,32.2,1.132,47
25.5,32.1,1.13,48
25.51041667,32.1,1.13,49
25.52083333,32.1,1.129,50
25.53125,32,1.126,51
25.54166667,32,1.127,52
25.55208333,32,1.128,53
25.5625,32.3,1.134,54
25.57291667,32.2,1.132,55
25.58333333,32.2,1.133,56
25.59375,32.2,1.133,57
25.60416667,32.3,1.135,58
25.61458333,32.7,1.144,59
25.625,33,1.151,60
25.63541667,33.2,1.156,61
25.64583333,33.6,1.164,62
25.65625,34,1.173,63
25.66666667,34.7,1.19,64
25.67708333,35.9,1.217,65
25.6875,37.9,1.261,66
25.69791667,40,1.309,67
25.70833333,42.7,1.366,68
25.71875,45.7,1.431,69
25.72916667,49.3,1.506,70
25.73958333,53.9,1.598,71
25.75,56.8,1.655,72
25.76041667,60,1.717,73
25.77083333,64.2,1.797,74
25.78125,68.8,1.884,75
25.79166667,73.9,1.971,76
25.80208333,80.2,2.072,77
25.8125,86.5,2.171,78
25.82291667,92.9,2.27,79
25.83333333,98.1,2.348,80
25.84375,103,2.423,81
25.85416667,108,2.492,82
25.86458333,111,2.543,83
25.875,115,2.596,84
25.88541667,118,2.642,85
25.89583333,123,2.708,86
25.90625,127,2.765,87
25.91666667,132,2.831,88
25.92708333,137,2.899,89
25.9375,142,2.955,90
25.94791667,146,3.011,91
25.95833333,150,3.071,92
25.96875,155,3.125,93
25.97916667,157,3.161,94
25.98958333,162,3.215,95
26,164,3.24,96
26.01041667,166,3.271,97
26.02083333,168,3.291,98
26.03125,169,3.301,99
26.04166667,171,3.325,100
26.05208333,172,3.348,101
26.0625,174,3.368,102
26.07291667,175,3.38,103
26.08333333,177,3.399,104
26.09375,177,3.399,105
26.10416667,178,3.414,106
26.11458333,178,3.422,107
26.125,179,3.425,108
26.13541667,179,3.426,109
26.14583333,179,3.426,110
26.15625,179,3.424,111
26.16666667,179,3.426,112
26.17708333,179,3.429,113
26.1875,180,3.435,114
26.19791667,179,3.431,115
26.20833333,179,3.433,116
26.21875,181,3.452,117
26.22916667,182,3.465,118
26.23958333,183,3.479,119
26.25,184,3.494,120
26.26041667,187,3.52,121
26.27083333,188,3.535,122
26.28125,190,3.556,123
26.29166667,190,3.557,124
26.30208333,191,3.576,125
26.3125,192,3.591,126
26.32291667,194,3.607,127
26.33333333,195,3.617,128
26.34375,197,3.642,129
26.35416667,198,3.661,130
26.36458333,203,3.711,131
26.375,206,3.745,132
26.38541667,207,3.762,133
26.39583333,209,3.784,134
26.40625,211,3.807,135
26.41666667,213,3.834,136
26.42708333,216,3.864,137
26.4375,220,3.905,138
26.44791667,223,3.947,139
26.45833333,226,3.977,140
26.46875,229,4.009,141
26.47916667,232,4.048,142
26.48958333,235,4.077,143
26.5,237,4.107,144
26.51041667,239,4.127,145
26.52083333,242,4.16,146
26.53125,245,4.191,147
26.54166667,248,4.223,148
26.55208333,250,4.246,149
26.5625,253,4.273,150
26.57291667,255,4.3,151
26.58333333,257,4.321,152
26.59375,260,4.35,153
26.60416667,262,4.371,154
26.61458333,264,4.397,155
26.625,268,4.435,156
26.63541667,271,4.475,157
26.64583333,275,4.511,158
26.65625,278,4.546,159
26.66666667,281,4.575,160
26.67708333,284,4.609,161
26.6875,286,4.63,162
26.69791667,288,4.651,163
26.70833333,291,4.681,164
26.71875,293,4.703,165
26.72916667,296,4.728,166
26.73958333,298,4.75,167
26.75,299,4.765,168
26.76041667,301,4.785,169
26.77083333,303,4.807,170
26.78125,305,4.82,171
26.79166667,306,4.838,172
26.80208333,309,4.862,173
26.8125,311,4.888,174
26.82291667,313,4.902,175
26.83333333,313,4.906,176
26.84375,315,4.923,177
26.85416667,316,4.931,178
26.86458333,317,4.944,179
26.875,319,4.964,180
26.88541667,321,4.987,181
26.89583333,323,5.003,182
26.90625,325,5.021,183
26.91666667,326,5.035,184
26.92708333,328,5.053,185
26.9375,332,5.095,186
26.94791667,333,5.108,187
26.95833333,335,5.123,188
26.96875,336,5.139,189
26.97916667,338,5.151,190
26.98958333,338,5.155,191
27,340,5.171,192
27.01041667,341,5.183,193
27.02083333,341,5.186,194
27.03125,342,5.19,195
