Day,Flowrate,Riverheight,Entry number 
25,8.84,1.362,0
25.01041667,8.84,1.362,1
25.02083333,8.88,1.364,2
25.03125,8.8,1.36,3
25.04166667,8.77,1.358,4
25.05208333,8.67,1.353,5
25.0625,8.67,1.353,6
25.07291667,8.65,1.352,7
25.08333333,8.57,1.348,8
25.09375,8.5,1.344,9
25.10416667,8.46,1.342,10
25.11458333,8.33,1.335,11
25.125,8.35,1.336,12
25.13541667,8.29,1.333,13
25.14583333,8.29,1.333,14
25.15625,8.29,1.333,15
25.16666667,8.16,1.326,16
25.17708333,8.18,1.327,17
25.1875,8.03,1.319,18
25.19791667,8.07,1.321,19
25.20833333,8.03,1.319,20
25.21875,7.94,1.314,21
25.22916667,7.99,1.317,22
25.23958333,7.96,1.315,23
25.25,7.9,1.312,24
25.26041667,7.9,1.312,25
25.27083333,7.83,1.308,26
25.28125,7.86,1.31,27
25.29166667,7.81,1.307,28
25.30208333,7.72,1.302,29
25.3125,7.74,1.303,30
25.32291667,7.7,1.301,31
25.33333333,7.63,1.297,32
25.34375,7.58,1.294,33
25.35416667,7.58,1.294,34
25.36458333,7.51,1.29,35
25.375,7.45,1.287,36
25.38541667,7.42,1.285,37
25.39583333,7.38,1.283,38
25.40625,7.44,1.286,39
25.41666667,7.36,1.282,40
25.42708333,7.26,1.276,41
25.4375,7.33,1.28,42
25.44791667,7.24,1.275,43
25.45833333,7.26,1.276,44
25.46875,7.19,1.272,45
25.47916667,7.23,1.274,46
25.48958333,7.23,1.274,47
25.5,7.14,1.269,48
25.51041667,7.31,1.279,49
25.52083333,7.36,1.282,50
25.53125,7.36,1.282,51
25.54166667,7.36,1.282,52
25.55208333,7.47,1.288,53
25.5625,7.68,1.3,54
25.57291667,7.86,1.31,55
25.58333333,7.96,1.315,56
25.59375,8.25,1.331,57
25.60416667,8.67,1.353,58
25.61458333,8.88,1.364,59
25.625,9.04,1.372,60
25.63541667,9.26,1.383,61
25.64583333,9.8,1.41,62
25.65625,10.4,1.438,63
25.66666667,10.9,1.462,64
25.67708333,11.6,1.494,65
25.6875,12.3,1.525,66
25.69791667,14,1.593,67
25.70833333,15.8,1.665,68
25.71875,19.4,1.792,69
25.72916667,24,1.935,70
25.73958333,31.3,2.142,71
25.75,37.8,2.336,72
25.76041667,44.1,2.516,73
25.77083333,49.9,2.674,74
25.78125,54.3,2.793,75
25.79166667,58.7,2.907,76
25.80208333,61.6,2.982,77
25.8125,65,3.069,78
25.82291667,68.7,3.156,79
25.83333333,73.5,3.267,80
25.84375,78.7,3.379,81
25.85416667,84.5,3.501,82
25.86458333,89.2,3.595,83
25.875,93.8,3.686,84
25.88541667,98,3.766,85
25.89583333,103,3.858,86
25.90625,106,3.903,87
25.91666667,107,3.925,88
25.92708333,107,3.925,89
25.9375,105,3.902,90
25.94791667,104,3.867,91
25.95833333,101,3.828,92
25.96875,99.6,3.796,93
25.97916667,95.9,3.726,94
25.98958333,93.4,3.678,95
26,90.4,3.62,96
26.01041667,88,3.571,97
26.02083333,84.7,3.506,98
26.03125,81.2,3.433,99
26.04166667,77.7,3.358,100
26.05208333,75.3,3.306,101
26.0625,72.2,3.237,102
26.07291667,69.2,3.168,103
26.08333333,66.5,3.105,104
26.09375,64.7,3.061,105
26.10416667,62,2.992,106
26.11458333,60.5,2.955,107
26.125,59.9,2.939,108
26.13541667,59.6,2.932,109
26.14583333,60.3,2.95,110
26.15625,61.4,2.977,111
26.16666667,64.1,3.046,112
26.17708333,67.3,3.124,113
26.1875,70.7,3.203,114
26.19791667,73.6,3.269,115
26.20833333,77.1,3.344,116
26.21875,81.8,3.446,117
26.22916667,85.7,3.526,118
26.23958333,89.8,3.607,119
26.25,92.6,3.663,120
26.26041667,96.3,3.734,121
26.27083333,99,3.784,122
26.28125,105,3.892,123
26.29166667,110,3.979,124
26.30208333,114,4.06,125
26.3125,120,4.157,126
26.32291667,124,4.223,127
