Day,Flowrate,Riverheight,Entry number 
25,9.04,0.519,0
25.01041667,9.16,0.521,1
25.02083333,9.16,0.521,2
25.03125,9.34,0.524,3
25.04166667,9.28,0.523,4
25.05208333,9.58,0.528,5
25.0625,9.94,0.534,6
25.07291667,10.6,0.545,7
25.08333333,11.6,0.561,8
25.09375,13.1,0.584,9
25.10416667,13.9,0.596,10
25.11458333,14.2,0.601,11
25.125,14.8,0.61,12
25.13541667,15.8,0.624,13
25.14583333,16.5,0.635,14
25.15625,17.3,0.646,15
25.16666667,18.1,0.657,16
25.17708333,19.3,0.674,17
25.1875,20.2,0.686,18
25.19791667,21.6,0.705,19
25.20833333,23.1,0.725,20
25.21875,23.6,0.731,21
25.22916667,24.1,0.737,22
25.23958333,25.2,0.752,23
25.25,26.7,0.771,24
25.26041667,28.1,0.788,25
25.27083333,29.3,0.803,26
25.28125,33.4,0.852,27
25.29166667,38.2,0.908,28
25.30208333,42.9,0.961,29
25.3125,42.9,0.961,30
25.32291667,55.3,1.095,31
25.33333333,67.1,1.217,32
25.34375,78.9,1.333,33
25.35416667,87.3,1.414,34
25.36458333,91.1,1.465,35
25.375,95.1,1.546,36
25.38541667,99.1,1.628,37
25.39583333,104,1.73,38
25.40625,112,1.875,39
25.41666667,120,2.045,40
25.42708333,125,2.141,41
25.4375,131,2.252,42
25.44791667,136,2.353,43
25.45833333,141,2.456,44
25.46875,146,2.548,45
25.47916667,151,2.651,46
25.48958333,157,2.763,47
25.5,164,2.898,48
25.51041667,173,3.061,49
25.52083333,180,3.197,50
25.53125,181,3.226,51
25.54166667,186,3.313,52
25.55208333,192,3.429,53
25.5625,197,3.516,54
25.57291667,203,3.634,55
25.58333333,208,3.729,56
25.59375,213,3.824,57
25.60416667,217,3.899,58
25.61458333,221,3.979,59
25.625,225,4.049,60
25.63541667,228,4.109,61
25.64583333,231,4.159,62
25.65625,234,4.209,63
25.66666667,236,4.259,64
25.67708333,239,4.309,65
25.6875,242,4.359,66
25.69791667,245,4.409,67
25.70833333,247,4.459,68
25.71875,250,4.509,69
25.72916667,253,4.559,70
25.73958333,254,4.589,71
25.75,256,4.619,72
25.76041667,258,4.649,73
25.77083333,259,4.675,74
25.78125,259,4.673,75
25.79166667,259,4.669,76
25.80208333,259,4.666,77
25.8125,258,4.654,78
25.82291667,257,4.634,79
25.83333333,257,4.633,80
25.84375,254,4.582,81
25.85416667,252,4.552,82
25.86458333,252,4.538,83
25.875,249,4.495,84
25.88541667,251,4.518,85
25.89583333,246,4.429,86
25.90625,246,4.429,87
25.91666667,240,4.324,88
25.92708333,241,4.339,89
25.9375,237,4.265,90
25.94791667,233,4.194,91
25.95833333,229,4.128,92
25.96875,221,3.977,93
25.97916667,209,3.756,94
25.98958333,201,3.605,95
26,196,3.501,96
26.01041667,192,3.421,97
26.02083333,183,3.263,98
26.03125,177,3.152,99
26.04166667,175,3.103,100
26.05208333,170,3.016,101
26.0625,167,2.952,102
26.07291667,164,2.893,103
26.08333333,160,2.818,104
26.09375,155,2.718,105
26.10416667,154,2.71,106
26.11458333,150,2.624,107
26.125,148,2.597,108
26.13541667,149,2.616,109
26.14583333,143,2.502,110
26.15625,141,2.449,111
26.16666667,140,2.444,112
26.17708333,139,2.407,113
26.1875,136,2.354,114
26.19791667,135,2.33,115
26.20833333,134,2.323,116
26.21875,132,2.279,117
26.22916667,127,2.19,118
26.23958333,129,2.226,119
26.25,128,2.195,120
26.26041667,126,2.152,121
26.27083333,124,2.119,122
26.28125,123,2.107,123
26.29166667,122,2.078,124
26.30208333,120,2.038,125
26.3125,119,2.027,126
26.32291667,118,2.006,127
26.33333333,117,1.977,128
26.34375,115,1.946,129
26.35416667,115,1.944,130
26.36458333,114,1.929,131
26.375,113,1.896,132
26.38541667,113,1.903,133
26.39583333,112,1.88,134
26.40625,111,1.873,135
26.41666667,110,1.837,136
26.42708333,108,1.811,137
26.4375,108,1.804,138
26.44791667,107,1.787,139
26.45833333,106,1.76,140
26.46875,105,1.751,141
26.47916667,104,1.721,142
26.48958333,103,1.711,143
26.5,103,1.699,144
26.51041667,102,1.688,145
26.52083333,101,1.67,146
26.53125,101,1.66,147
26.54166667,99.7,1.639,148
26.55208333,98.7,1.62,149
26.5625,98.6,1.616,150
26.57291667,97.2,1.589,151
26.58333333,96.8,1.581,152
26.59375,96.1,1.567,153
26.60416667,95.5,1.555,154
26.61458333,94.6,1.536,155
26.625,93.9,1.522,156
26.63541667,92.7,1.499,157
26.64583333,92.9,1.503,158
26.65625,92.1,1.486,159
26.66666667,91.3,1.469,160
26.67708333,90.2,1.447,161
26.6875,89.7,1.436,162
26.69791667,88.2,1.422,163
26.70833333,87.6,1.417,164
26.71875,83.6,1.379,165
26.72916667,84.8,1.39,166
26.73958333,85,1.392,167
26.75,82.7,1.37,168
26.76041667,81.7,1.36,169
26.77083333,82.6,1.369,170
26.78125,80.6,1.35,171
26.79166667,78,1.324,172
26.80208333,78.6,1.33,173
26.8125,76.9,1.314,174
26.82291667,75.5,1.301,175
26.83333333,75.6,1.301,176
26.84375,74.4,1.289,177
26.85416667,73.4,1.279,178
26.86458333,72.1,1.267,179
26.875,71.9,1.265,180
26.88541667,70.6,1.252,181
26.89583333,68.6,1.231,182
26.90625,67.2,1.218,183
26.91666667,67.4,1.22,184
26.92708333,66.9,1.215,185
26.9375,64.4,1.189,186
26.94791667,65.3,1.198,187
26.95833333,62.8,1.173,188
26.96875,63.5,1.18,189
26.97916667,60.8,1.153,190
26.98958333,61.2,1.156,191
27,60.1,1.145,192
27.01041667,59.1,1.135,193
27.02083333,58.4,1.127,194
27.03125,57.4,1.117,195
27.04166667,55.6,1.099,196
27.05208333,55.9,1.101,197
27.0625,54.4,1.086,198
27.07291667,54.2,1.083,199
27.08333333,53.6,1.077,200
27.09375,51.7,1.057,201
27.10416667,51.2,1.051,202
27.11458333,50.3,1.042,203
27.125,49.5,1.033,204
27.13541667,49.1,1.028,205
27.14583333,49.2,1.03,206
27.15625,47.2,1.009,207
27.16666667,46.3,0.999,208
27.17708333,46.1,0.997,209
27.1875,45,0.984,210
27.19791667,45,0.984,211
27.20833333,43.9,0.972,212
27.21875,43.5,0.968,213
27.22916667,42.8,0.959,214
27.23958333,42.6,0.957,215
27.25,41.9,0.949,216
27.26041667,40.3,0.931,217
27.27083333,41.2,0.942,218
27.28125,40.2,0.931,219
27.29166667,39.1,0.918,220
27.30208333,38.6,0.913,221
27.3125,37.7,0.902,222
27.32291667,36,0.883,223
27.33333333,36.4,0.887,224
27.34375,35.7,0.88,225
27.35416667,35.2,0.874,226
27.36458333,33.7,0.856,227
27.375,33.4,0.852,228
27.38541667,33.4,0.852,229
27.39583333,32.6,0.843,230
27.40625,31.9,0.834,231
27.41666667,31.7,0.832,232
27.42708333,30.6,0.819,233
27.4375,30.2,0.814,234
27.44791667,30,0.811,235
27.45833333,29,0.8,236
27.46875,27.9,0.786,237
27.47916667,28.1,0.788,238
27.48958333,28.4,0.791,239
27.5,27.7,0.783,240
27.51041667,27.1,0.776,241
27.52083333,26.2,0.764,242
27.53125,26.1,0.763,243
27.54166667,26.9,0.773,244
27.55208333,25.6,0.757,245
27.5625,25.5,0.756,246
27.57291667,25.7,0.758,247
27.58333333,25.4,0.754,248
27.59375,25.4,0.754,249
27.60416667,25.2,0.752,250
27.61458333,24.9,0.748,251
27.625,24.7,0.745,252
27.63541667,24.8,0.746,253
27.64583333,25,0.749,254
27.65625,24.5,0.742,255
27.66666667,24.8,0.746,256
27.67708333,24.5,0.743,257
27.6875,24.3,0.74,258
27.69791667,24.1,0.738,259
27.70833333,23.6,0.731,260
27.71875,23.5,0.73,261
27.72916667,23.5,0.73,262
27.73958333,23.2,0.726,263
27.75,23.2,0.726,264
27.76041667,22.9,0.722,265
27.77083333,23.1,0.725,266
27.78125,22.8,0.721,267
27.79166667,22.7,0.719,268
27.80208333,22.5,0.717,269
27.8125,22.3,0.714,270
